species,vmax_m3_ha,growth_r,growth_t0,wood_density_kg_m3,carbon_fraction,root_shoot_ratio,heat_value_gj_t_dry,log_price_yen_m3
sugi,600,0.11,22,314,0.51,0.25,18.5,12000
konara_broadleaf,420,0.07,30,640,0.48,0.27,18.8,9000
