file,year,line_no,keyword,context
0209teireikaigijuroku,2020,114,決算,◎認定第４号、令和元年度御杖村介護保険特別会計歳入歳出決算の認定について
0209teireikaigijuroku,2020,116,決算,◎認定第５号、令和元年度御杖村後期高齢者医療特別会計歳入歳出決算の認定について
0209teireikaigijuroku,2020,143,予算,第７   承認第１０号[予算決算委員会付託]
0209teireikaigijuroku,2020,143,決算,第７   承認第１０号[予算決算委員会付託]
0209teireikaigijuroku,2020,144,予算,専決処分の承認を求めることについて（令和２年度御杖村一般会計補正予算(第５号)）
0209teireikaigijuroku,2020,144,補正予算,専決処分の承認を求めることについて（令和２年度御杖村一般会計補正予算(第５号)）
0209teireikaigijuroku,2020,148,契約,御杖村小中学校統合施設整備工事に伴う工事請負契約の締結について
0209teireikaigijuroku,2020,148,工事,御杖村小中学校統合施設整備工事に伴う工事請負契約の締結について
0209teireikaigijuroku,2020,149,予算,第１０ 議案第２４号[予算決算委員会付託]
0209teireikaigijuroku,2020,149,決算,第１０ 議案第２４号[予算決算委員会付託]
0209teireikaigijuroku,2020,150,予算,令和２年度御杖村一般会計補正予算（第６号）の議定について
0209teireikaigijuroku,2020,150,補正予算,令和２年度御杖村一般会計補正予算（第６号）の議定について
0209teireikaigijuroku,2020,151,予算,第１１ 議案第２５号［予算決算委員会付託］
0209teireikaigijuroku,2020,151,決算,第１１ 議案第２５号［予算決算委員会付託］
0209teireikaigijuroku,2020,152,予算,令和２年度御杖村簡易水道事業特別会計補正予算（第１号）の議定について
0209teireikaigijuroku,2020,152,補正予算,令和２年度御杖村簡易水道事業特別会計補正予算（第１号）の議定について
0209teireikaigijuroku,2020,153,予算,第１２ 議案第２６号［予算決算委員会付託］
0209teireikaigijuroku,2020,153,決算,第１２ 議案第２６号［予算決算委員会付託］
0209teireikaigijuroku,2020,154,予算,令和２年度御杖村国民健康保険特別会計補正予算(第３号)の議定について
0209teireikaigijuroku,2020,154,補正予算,令和２年度御杖村国民健康保険特別会計補正予算(第３号)の議定について
0209teireikaigijuroku,2020,155,予算,第１３ 議案第２７号［予算決算委員会付託］
0209teireikaigijuroku,2020,155,決算,第１３ 議案第２７号［予算決算委員会付託］
0209teireikaigijuroku,2020,156,予算,令和２年度御杖村介護保険特別会計補正予算(第２号)の議定について
0209teireikaigijuroku,2020,156,補正予算,令和２年度御杖村介護保険特別会計補正予算(第２号)の議定について
0209teireikaigijuroku,2020,157,予算,第１４ 議案第２８号［予算決算委員会付託］
0209teireikaigijuroku,2020,157,決算,第１４ 議案第２８号［予算決算委員会付託］
0209teireikaigijuroku,2020,158,予算,令和２年度御杖村後期高齢者医療特別会計補正予算（第１号）の議定について
0209teireikaigijuroku,2020,158,補正予算,令和２年度御杖村後期高齢者医療特別会計補正予算（第１号）の議定について
0209teireikaigijuroku,2020,159,予算,第１５ 認定第１号［予算決算委員会付託］
0209teireikaigijuroku,2020,159,決算,第１５ 認定第１号［予算決算委員会付託］
0209teireikaigijuroku,2020,160,決算,令和元年度御杖村一般会計歳入歳出決算の認定について
0209teireikaigijuroku,2020,161,予算,第１６ 認定第２号［予算決算委員会付託］
0209teireikaigijuroku,2020,161,決算,第１６ 認定第２号［予算決算委員会付託］
0209teireikaigijuroku,2020,162,決算,令和元年度御杖村簡易水道事業特別会計歳入歳出決算の認定について
0209teireikaigijuroku,2020,163,予算,第１７ 認定第３号［予算決算委員会付託］
0209teireikaigijuroku,2020,163,決算,第１７ 認定第３号［予算決算委員会付託］
0209teireikaigijuroku,2020,164,決算,令和元年度御杖村国民健康保険特別会計歳入歳出決算の認定について
0209teireikaigijuroku,2020,165,予算,第１８ 認定第４号［予算決算委員会付託］
0209teireikaigijuroku,2020,165,決算,第１８ 認定第４号［予算決算委員会付託］
0209teireikaigijuroku,2020,166,決算,令和元年度御杖村介護保険特別会計歳入歳出決算の認定について
0209teireikaigijuroku,2020,167,予算,第１９ 認定第５号［予算決算委員会付託］
0209teireikaigijuroku,2020,167,決算,第１９ 認定第５号［予算決算委員会付託］
0209teireikaigijuroku,2020,168,決算,令和元年度御杖村後期高齢者医療特別会計歳入歳出決算の認定について
0209teireikaigijuroku,2020,259,予算,での１３日間とし、全員協議会を４日、むらづくり委員会を９日、予算決算委員会を１０
0209teireikaigijuroku,2020,259,決算,での１３日間とし、全員協議会を４日、むらづくり委員会を９日、予算決算委員会を１０
0209teireikaigijuroku,2020,264,予算,第２２号をむらづくり委員会へ、専決を含む補正予算６件及び決算認定５件は予算決算
0209teireikaigijuroku,2020,264,補正予算,第２２号をむらづくり委員会へ、専決を含む補正予算６件及び決算認定５件は予算決算
0209teireikaigijuroku,2020,264,決算,第２２号をむらづくり委員会へ、専決を含む補正予算６件及び決算認定５件は予算決算
0209teireikaigijuroku,2020,340,予算,補正予算第１号についてでございます。以上１件が提案されました。議案第１号につい
0209teireikaigijuroku,2020,340,補正予算,補正予算第１号についてでございます。以上１件が提案されました。議案第１号につい
0209teireikaigijuroku,2020,341,繰越,"ては、歳入歳出ともに 3,085,千円の増額です。歳入の増額分は、昨年度の繰越金での増"
0209teireikaigijuroku,2020,344,工事,"円と不慮の出費がかさみ、加えて中央監視盤電気工事費が当初 19,197 千円をみていたと"
0209teireikaigijuroku,2020,393,予算,これは、来年度の政府予算編成に向けて、県および市町村から要望を行う場でござい
0209teireikaigijuroku,2020,394,予算,ます。本村の長年の悲願である国道 368 号線全線早期改良に向け、その予算確保と事業
0209teireikaigijuroku,2020,400,予算,さて、今定例会の案件は、新型コロナ対策関連の補正予算や令和元年度決算が中心と
0209teireikaigijuroku,2020,400,補正予算,さて、今定例会の案件は、新型コロナ対策関連の補正予算や令和元年度決算が中心と
0209teireikaigijuroku,2020,400,決算,さて、今定例会の案件は、新型コロナ対策関連の補正予算や令和元年度決算が中心と
0209teireikaigijuroku,2020,401,予算,なっております。補正予算につきましては、国の新型コロナウイルス感染症対応地方創
0209teireikaigijuroku,2020,401,補正予算,なっております。補正予算につきましては、国の新型コロナウイルス感染症対応地方創
0209teireikaigijuroku,2020,402,予算,生臨時交付金第 2 次補正予算分を活用した対策事業を計上させていただいております。
0209teireikaigijuroku,2020,402,補正予算,生臨時交付金第 2 次補正予算分を活用した対策事業を計上させていただいております。
0209teireikaigijuroku,2020,403,決算,また、令和元年度の決算につきましては、歳入の確保と経費削減や創意工夫などに努め
0209teireikaigijuroku,2020,405,基金,ていた財政調整基金の繰り入れを行うことなく、約 3 億円の積み増しを行いました。今
0209teireikaigijuroku,2020,578,予算,（令和２年度御杖村一般会計補正予算(第５号)）
0209teireikaigijuroku,2020,578,補正予算,（令和２年度御杖村一般会計補正予算(第５号)）
0209teireikaigijuroku,2020,582,予算,令和２年度御杖村一般会計補正予算第５号を議題と致します。本案について、提案理由
0209teireikaigijuroku,2020,582,補正予算,令和２年度御杖村一般会計補正予算第５号を議題と致します。本案について、提案理由
0209teireikaigijuroku,2020,595,予算,月から事業開始をしたく、7 月 22 日に補正予算の専決処分をさせていただきましたの
0209teireikaigijuroku,2020,595,補正予算,月から事業開始をしたく、7 月 22 日に補正予算の専決処分をさせていただきましたの
0209teireikaigijuroku,2020,603,予算,員協議会で詳細な説明を受け、予算決算委員会に付託することにしたいと思います。ご
0209teireikaigijuroku,2020,603,決算,員協議会で詳細な説明を受け、予算決算委員会に付託することにしたいと思います。ご
0209teireikaigijuroku,2020,609,予算,承認を求めることについて、令和２年度御杖村一般会計補正予算第５号は、予算決算委
0209teireikaigijuroku,2020,609,補正予算,承認を求めることについて、令和２年度御杖村一般会計補正予算第５号は、予算決算委
0209teireikaigijuroku,2020,609,決算,承認を求めることについて、令和２年度御杖村一般会計補正予算第５号は、予算決算委
0209teireikaigijuroku,2020,623,予算,○村長（伊藤収宜君）：本案につきましては、本年度の当初予算に計上し議決をいただき
0209teireikaigijuroku,2020,640,工事,◎議案第２３号御杖村小中学校統合施設整備工事に
0209teireikaigijuroku,2020,641,契約,伴う工事請負契約の締結について
0209teireikaigijuroku,2020,641,工事,伴う工事請負契約の締結について
0209teireikaigijuroku,2020,645,工事,：次に、日程第９議案第２３号御杖村小中学校統合施設整備工事に伴う
0209teireikaigijuroku,2020,646,契約,工事請負契約の締結についてを議題と致します。本案については、議会運営委員長の報
0209teireikaigijuroku,2020,646,工事,工事請負契約の締結についてを議題と致します。本案については、議会運営委員長の報
0209teireikaigijuroku,2020,652,契約,○村長（伊藤収宜君）：本案につきましては、議会の議決に付すべき契約及び財産の取得
0209teireikaigijuroku,2020,652,財産,○村長（伊藤収宜君）：本案につきましては、議会の議決に付すべき契約及び財産の取得
0209teireikaigijuroku,2020,652,取得,○村長（伊藤収宜君）：本案につきましては、議会の議決に付すべき契約及び財産の取得
0209teireikaigijuroku,2020,653,契約,"又は処分に関する条例第 2 条の規定に定める予定価格 5,000 万円以上の工事請負契約"
0209teireikaigijuroku,2020,653,工事,"又は処分に関する条例第 2 条の規定に定める予定価格 5,000 万円以上の工事請負契約"
0209teireikaigijuroku,2020,655,契約,求めるものでございます。契約の内容につきましては、教育次長が説明いたします。
0209teireikaigijuroku,2020,661,契約,○教育委員会次長（中村康幸君）：この契約につきましては、御杖村小中学校統合施設整備
0209teireikaigijuroku,2020,662,契約,工事を 8 月 25 日に一般競争入札を行った結果、契約金額税込 8 億 8 千万円で、村本・
0209teireikaigijuroku,2020,662,工事,工事を 8 月 25 日に一般競争入札を行った結果、契約金額税込 8 億 8 千万円で、村本・
0209teireikaigijuroku,2020,662,入札,工事を 8 月 25 日に一般競争入札を行った結果、契約金額税込 8 億 8 千万円で、村本・
0209teireikaigijuroku,2020,663,工事,松塚特定建設工事共同企業体、代表者北葛城郡広陵町村本建設株式会社奈良本店、常務
0209teireikaigijuroku,2020,665,契約,工事請負契約を締結するものであります。
0209teireikaigijuroku,2020,665,工事,工事請負契約を締結するものであります。
0209teireikaigijuroku,2020,666,契約,高額の契約案件でございますので、入札の経緯につきましても説明報告をさせていた
0209teireikaigijuroku,2020,666,入札,高額の契約案件でございますので、入札の経緯につきましても説明報告をさせていた
0209teireikaigijuroku,2020,667,入札,だきます。役場内の請負業者選定審査会を、7 月 7 日に開催し、入札参加の条件等を決
0209teireikaigijuroku,2020,668,入札,定しました。奈良県が定めている入札方法や入札参加形態などを参考としながら検討
0209teireikaigijuroku,2020,669,工事,し、本件工事の入札は、一般競争入札方式で行い、奈良県内に建設業法に基づく建築工
0209teireikaigijuroku,2020,669,入札,し、本件工事の入札は、一般競争入札方式で行い、奈良県内に建設業法に基づく建築工
0209teireikaigijuroku,2020,670,工事,事業の許可を受けている本店・支店又は営業所を有する２者で構成される特定建設工事
0209teireikaigijuroku,2020,671,工事,"共同企業体で、建築一式工事における総合評定値が、代表者は 1,300 点以上、構成員は"
0209teireikaigijuroku,2020,673,入札,績、技術力等を評価した値であり、入札参加企業の信頼性と、競争原理が働くよう対象
0209teireikaigijuroku,2020,675,入札,そして、翌日の 7 月 8 日から 7 月 22 日までを入札参加受付期間として、村のホーム
0209teireikaigijuroku,2020,676,入札,ページで入札公告を行いました。この期間中には、奈良県内や近畿管内の建設業界新聞
0209teireikaigijuroku,2020,678,入札,しかし、結果といたしまして入札参加者は１者となり、8 月 25 日に行いました入札
0209teireikaigijuroku,2020,679,入札,"で、公表予定価格税込み 8 億 8,227 万 8,100 円に対しまして、8 億 8,000 万円での入札"
0209teireikaigijuroku,2020,682,予算,ます。工期は、本契約の日から令和 3 年 8 月 24 日までで、村の予算は、令和 2 年度、3
0209teireikaigijuroku,2020,682,契約,ます。工期は、本契約の日から令和 3 年 8 月 24 日までで、村の予算は、令和 2 年度、3
0209teireikaigijuroku,2020,684,契約,入札日の翌日、8 月 26 日に仮契約を行いましたこの契約の締結につきまして、ご審議
0209teireikaigijuroku,2020,684,入札,入札日の翌日、8 月 26 日に仮契約を行いましたこの契約の締結につきまして、ご審議
0209teireikaigijuroku,2020,695,入札,入札ということでございますが、１者しか応募していないということでございまして､考
0209teireikaigijuroku,2020,697,契約,いえば随時契約だというような誤解も生むと、しっかりとした説明をしてなかったら。
0209teireikaigijuroku,2020,698,契約,私そう思うんです。それと、募集した企業とか契約金額とかには、全協で何度も説明を
0209teireikaigijuroku,2020,699,工事,いただいていますので意見は挟みませんけれど、やはり 8 億 8 千万の工事費というとお
0209teireikaigijuroku,2020,700,予算,そらく御杖村政で３回目ぐらいにあたる高額予算の事業だと思うんです。若者団地は、
0209teireikaigijuroku,2020,701,入札,20 何億かかっていますが、これは何回にも分けて入札していますので、１回として 8 億
0209teireikaigijuroku,2020,708,工事,のことを充分念頭に入れて取り組んでいただきたいと。そして、こういう大きい工事で
