Date,Meeting,Agenda,Department,Yen_Amount,Type,Speaker,Nakashima_Role,Notes,Source_File,Page
2020,0209teireikaigijuroku,◎議案第２６号令和２年度御杖村国民健康保険特別,Water/Sewer,5151000,"予算,決算,繰越,補正予算",議長(山岡隆良君),,質疑なしと認めます。これで、質疑を終わります。本案については、 全員協議会で詳細な説明を受け、予算決算委員会に付託することにしたいと思います。 ご異議ありませんか。 （「異議なし」の声あり） ○議長（山岡隆良君） ：異議なしと認めます。したがって、日程第１１議案第２５号令和２年 度御杖村簡易水道事業特別会計補正予算第１号の議定については、予算決算委員会に付 託することに決定しました。   ◎議案第,0209teireikaigijuroku,16
2020,0209teireikaigijuroku,◎議案第２７号令和２年度御杖村介護保険特別,,4863000,"予算,決算,補正予算",議長(山岡隆良君),,質疑なしと認めます。これで、質疑を終わります。本案については、 全員協議会で詳細な説明を受け、予算決算委員会に付託することにしたいと思います。 －１７－ ご異議ありませんか。 （「異議なし」の声あり） ○議長（山岡隆良君） ：異議なしと認めます。したがって、日程第１２議案第２６号令和２年 度御杖村国民健康保険特別会計補正予算第３号の議定については、予算決算委員会に付 託することに決定しました。  ,0209teireikaigijuroku,17
2020,0209teireikaigijuroku,◎議案第２８号令和２年度御杖村後期高齢者医療,,7554000,"予算,決算,繰越,補正予算",議長(山岡隆良君),,質疑なしと認めます。これで、質疑を終わります。本案については、 全員協議会で詳細な説明を受け、予算決算委員会に付託することにしたいと思います。 ご異議ありませんか。 （「異議なし」の声あり） ○議長（山岡隆良君） ：異議なしと認めます。したがって、日程第１３議案第２７号令和２年 度御杖村介護保険特別会計補正予算第２号の議定については、予算決算委員会に付託す ることに決定しました。   ◎議案第２８,0209teireikaigijuroku,18
2020,0209teireikaigijuroku,◎議案第２８号令和２年度御杖村後期高齢者医療,Construction,1206419000,"予算,基金,工事,決算,繰越,補助金,補正予算,財産",議長(山岡隆良君),,質疑なしと認めます。これで、質疑を終わります。本案については、 全員協議会で詳細な説明を受け、予算決算委員会に付託することにしたいと思います。 ご異議ありませんか。 （「異議なし」の声あり） ○議長（山岡隆良君） ：異議なしと認めます。したがって、日程第１４議案第２８号令和２年 度御杖村後期高齢者医療特別会計補正予算第１号の議定については、予算決算委員会に 付託することに決定しました。   ◎一括,0209teireikaigijuroku,21
2020,0209teireikaigijuroku,◎議案第２８号令和２年度御杖村後期高齢者医療,Construction,2202362000,決算,議長(山岡隆良君),,次に、特別会計決算を一括して、説明を求めます。伊藤村長。 ○村長（伊藤収宜君） ：議長。 ○議長（山岡隆良君） ：はい、伊藤村長。 ○村長（伊藤収宜君） ：本案につきましては、地方自治法第 233 条の規定により、令和元度 の御杖村簡易水道事業特別会計、国民健康保険特別会計、介護保険特別会計、後期高齢 者医療特別会計、以上 4 会計の歳入歳出決算の認定について、お願いするものでござい ます。詳細に,0209teireikaigijuroku,22
2020,0209teireikaigijuroku,◎議案第２８号令和２年度御杖村後期高齢者医療,,,"予算,基金,決算",８番(山崎往男君),,ただ今、議長のご指名がございましたので、決算審査報告を申し上 げたいと思います。お手元の令和元年度御杖村一般会計、特別会計の決算審査意見書を ご覧いただきたいと思います。７ページでございます。この審査につきましては、去る ８月２０日と２１日の２日間に渡りまして、丸山監査委員とともに審査をさせて頂きま した。決算審査意見書の各諸表の朗読は省略させて頂きまして、７ページの決算審査結 論の朗読をもって報,0209teireikaigijuroku,23
2020,0209teireikaigijuroku,◎同意第１２号御杖村固定資産評価審査委員会の委員選任,,,"予算,決算",議長(山岡隆良君),,質疑なしと認めます。これで質疑を終わります。決算議案について、 全員協議会で詳細な説明を受け、一括して予算決算委員会に付託することにしたいと思 います。ご異議ありませんか。 （「異議なし」の声あり） ○議長（山岡隆良君） ：異議なしと認めます。したがって、日程第１５認定第１号から日程第 １９認定第５号までの令和元年度一般会計歳入歳出決算及び各特別会計歳入歳出決 算の認定については、予算決算委員会に,0209teireikaigijuroku,23
2020,0209teireikaigijuroku,◎報告第２号令和元年度御杖村教育委員会の権限に属する事務の,Education,,工事,議長(山岡隆良君),,異議なしと認めます。したがって、日程第２０同意第１２号ついて、 質疑及び討論を省略します。これより、本案について採決を行います。これに同意する ことに賛成の方は、起立願います。 （全員／起立） －２４－ ○議長（山岡隆良君） ：ありがとうございます。全員の起立により、日程第２０同意第１２号 御杖村固定資産評価審査委員会の委員選任につき同意を求めることについては、同意す ることに決定しました。   ,0209teireikaigijuroku,26
2020,0209teireikaigijuroku,◎報告第２号令和元年度御杖村教育委員会の権限に属する事務の,Village Development,,"予算,決算,補正予算",議長(山岡隆良君),,以上をもって、本日の日程は全て終了致しました。次回の本会議は、 ９月１５日火曜日・午前１０時より開くことに致します。本日は、これにて散会致しま す。お疲れ様でした。    （午後１２時０２分 散会）     －２７－ －２８－ （令和２年９月１５日）     －２９－ 令和２年９月御杖村議会定例会（第２号） 令和２年９月１５日（火） 開議 午前１０時００分 ◎議事日程［審議結果］ 第１    承認,0209teireikaigijuroku,31
2020,0209teireikaigijuroku,◎承認第１０号専決処分の承認を求めることについて,,,"予算,補正予算",議長(山岡隆良君),,皆さん、おはようございます。本日の９月定例会の続会をご案内さ せていただいたところ、ご出席をいただきありがとうございます。全議員が出席でござい ます。地方自治法第 113 条の規定による定足数に達していますので、本日の会議を開きま す。本日の議事日程は、お手元に配布の日程第２号とおりとします。   ◎承認第１０号専決処分の承認を求めることについて （令和２年度御杖村一般会計補正予算(第５号)） ［,0209teireikaigijuroku,31
